,Close
2023-11-11,87.99
2023-11-12,87.99
2023-11-13,87.79
2023-11-14,89.78
2023-11-15,88.52
2023-11-16,89.62
2023-11-17,90.04
2023-11-18,90.04
2023-11-19,90.04
2023-11-20,90.59
2023-11-21,90.55
2023-11-22,90.87
2023-11-23,90.87
2023-11-24,89.8
2023-11-25,89.8
2023-11-26,89.8
2023-11-27,91.3
2023-11-28,91.48
2023-11-29,92.63
2023-11-30,91.56
2023-12-01,92.99
2023-12-02,92.99
2023-12-03,92.99
2023-12-04,92.62
2023-12-05,94.61
2023-12-06,95.87
2023-12-07,95.32
2023-12-08,94.54
2023-12-09,94.54
2023-12-10,94.54
2023-12-11,94.34
2023-12-12,94.62
2023-12-13,96.84
2023-12-14,99.04
2023-12-15,99.15
2023-12-16,99.15
2023-12-17,99.15
2023-12-18,98.36
2023-12-19,98.89
2023-12-20,99.56
2023-12-21,98.93
2023-12-22,98.48
2023-12-23,98.48
2023-12-24,98.48
2023-12-25,98.48
2023-12-26,98.76
2023-12-27,100.51
2023-12-28,99.78
2023-12-29,98.88
2023-12-30,98.88
2023-12-31,98.88
2024-01-01,98.88
2024-01-02,98.31
2024-01-03,98.72
2024-01-04,97.22
2024-01-05,96.29
2024-01-06,96.29
2024-01-07,96.29
2024-01-08,97.24
2024-01-09,96.62
2024-01-10,96.17
2024-01-11,96.71
2024-01-12,96.52
2024-01-13,96.52
2024-01-14,96.52
2024-01-15,96.52
2024-01-16,94.82
2024-01-17,94.67
2024-01-18,93.79
2024-01-19,94.09
2024-01-20,94.09
2024-01-21,94.09
2024-01-22,94.65
2024-01-23,93.9
2024-01-24,93.35
2024-01-25,93.96
2024-01-26,93.78
2024-01-27,93.78
2024-01-28,93.78
2024-01-29,94.86
2024-01-30,95.72
2024-01-31,96.66
2024-02-01,98.24
2024-02-02,96.07
2024-02-03,96.07
2024-02-04,96.07
2024-02-05,94.13
2024-02-06,95.05
2024-02-07,94.59
2024-02-08,94.04
2024-02-09,93.85
2024-02-10,93.85
2024-02-11,93.85
2024-02-12,93.96
2024-02-13,92.35
2024-02-14,92.82
2024-02-15,93.3
2024-02-16,92.76
2024-02-17,92.76
2024-02-18,92.76
2024-02-19,92.76
2024-02-20,92.84
2024-02-21,92.18
2024-02-22,92.63
2024-02-23,93.87
2024-02-24,93.87
2024-02-25,93.87
2024-02-26,93.59
2024-02-27,92.93
2024-02-28,93.52
2024-02-29,94.18
2024-03-01,94.47
2024-03-02,94.47
2024-03-03,94.47
2024-03-04,94.09
2024-03-05,95.43
2024-03-06,95.99
2024-03-07,95.9
